dia;ativo3;ativo4;ativo11;ativo13;ativo14;ativo15;ativo16;ativo19;ativo20;ativo23;ativo24;ativo25;ativo28;ativo31;tivo33;ativo34;ativo37;ativo41;ativo42;ativo43;ativo50;ativo51;ativo55;ativo57;ativo64;ativo65;ativo66;ativo69;ativo71;ativo74;ativo76;ativo81;ativo82;ativo83;ativo84;ativo85;ativo86;ativo87;ativo89
1401;-0.003210279;-0.050583676;-0.00835457;-0.018902189;0.022589096;0.010752688;-0.007836106;0.017045455;0.007895456;-0.039950372;0.001179885;-0.008407018;-0.006060606;-0.00264902;0.008094187;0.000734753;-0.002793296;-0.017562639;-0.018971291;-0.00097561;-0.013985968;-0.014995553;-0.007342907;0.00937742;0;0.008652141;0.006594489;0.012844037;0.01039604;-0.009304926;-0.027472527;0;-0.024081115;0.006536003;0.002901786;-0.023781213;-0.015348943;0;0.018452275
1402;-0.008051546;0.017759519;0.011355358;-0.008892249;0.022089974;-0.018439716;0.018833628;-0.012290503;-0.002609582;0.020935642;-0.015910409;-0.000446211;0.03597561;0.013944208;0;-0.010278994;-0.003081198;0.009209101;0.001289171;-0.010742187;-0.002026411;0;-0.018082261;0.021626565;0;-0.004514718;0.002339682;-0.025362319;0.041156296;0.007734829;-0.027306968;-0.021474636;0.002597403;-0.002597393;-0.005119074;-0.002436054;-0.002353;0;-0.007549291
1403;0.002597424;-0.017449622;-0.005794999;-0.041869111;-0.016625063;-0.059971098;-0.025939266;-0.01979638;-0.005237692;-0.031392405;-0.009580925;-0.025000065;-0.017068805;-0.024230489;-0.018248175;-0.006676553;-0.005338578;-0.028985455;-0.018025752;-0.043435341;-0.023350253;-0.024179153;-0.011997699;0.007751896;0;-0.003628118;-0.009803968;0.013011152;0.017411765;-0.021600855;-0.043562439;-0.005120678;-0.00388601;0.006510393;-0.002237181;-0.04029304;-0.029775886;0;0.011663403
1404;-0.005829043;0.065573725;0.001821441;-0.008583715;-0.011411708;-0.01614143;-0.008264341;0.028274668;-0.036315747;-0.010716153;0.018742445;-0.021977997;0.01017964;-0.048322181;-0.002230483;-0.011202381;-0.014124294;0.008291874;-0.005681775;-0.012383901;-0.004157965;-0.005812173;0.01186103;-0.00887574;0;-0.01183432;-0.008014993;0;0.012950971;-0.006724229;-0.022267206;-0.02647054;-0.00130039;0.02457955;-0.006726413;0.002544529;-0.003342479;0;0.008521329
1405;0.038599378;0.006410318;-0.014545449;0.035419095;-0.008978153;0;0.00648145;0.023569024;-0.055979881;-0.046235139;0.00296742;0.012172234;-0.021339714;-0.081805337;0.043219076;-0.028700961;-0.032664792;-0.016447314;-0.027252791;0.013584117;-0.024008349;-0.024615329;0.001116399;-0.001193981;0;-0.018885307;-0.013308032;0.001834862;-0.01369863;-0.028545594;0.028985507;-0.008056369;0.040364583;-0.003787865;-0.013544018;0.034263959;0.02987805;0;-0.000994177
1406;-0.001411309;0.025477665;0.004797098;0.014443262;0.013805004;0.009375;0.011959491;-0.013157895;0.035580818;0.018282548;0.000591755;0.025439496;0.016959479;0.006144346;-0.014285714;0.009331253;0.020438389;-0.013377926;0.000451875;-0.040206186;0.007486606;0.011040954;-0.024533098;-0.003287511;0;0.004694883;-0.005780395;0.014652015;0.008333333;0.001742125;0.013078471;0.028172486;0.001251564;-0.006337113;0.041189931;0.006134969;-0.006808763;-0.077720207;0.007960322
1407;-0.011149535;-0.016149029;-0.002570745;-0.026227083;-0.004680894;0.003869969;0;0.010555611;-0.029470753;-0.020946681;-0.0124187;-0.014433998;-0.008338356;-0.000763343;-0.001449275;0.010785817;0.013062446;0.006779604;0.00180673;-0.024704619;-0.018046676;-0.020280778;0.00200065;-0.010494829;0;-0.014018692;-0.010174371;0.137184116;0.014692378;0.007768104;-0.050645482;-0.005183881;-0.01875;0.005102022;-0.010329714;-0.015853659;-0.032786827;0;0.031589157
1408;0.000158822;0.008838383;-0.001104513;0.013851434;0.035057718;0.056283732;-0.000909061;0.017042275;0.032093285;0.011947763;0.026946117;0.012357008;0.009008949;0.009931275;-0.02394775;0.018292748;0.00429803;0.025813749;0.029305681;0;0.006486332;0.003184697;-0.007701145;0.0371213;0;0.009478626;0.00783162;-0.155555556;-0.004524887;0.028416889;0.081589958;-0.018610422;-0.008917197;-0.003807093;-0.000666178;0.179677819;0.016949121;0;0.038277784
1409;0.015242901;-0.001251604;0.006266071;0.035294155;0.025196242;0.065693431;-0.004852896;0.004864865;0.003066008;-0.015650741;0.018950363;0.051085011;0.016666727;-0.012859348;0.022304833;0.010479034;-0.018544971;0.054157492;0.05825668;0.033039648;0.030075279;0.028571425;0.018396157;0.021329417;0;0.025352161;0.019912579;0.009398496;0.027272727;-0.003244121;0.017408124;0.011378028;0.020565553;-0.003821719;0.002222178;0.011554622;0.046060606;0.008426966;0.008294863
1410;0;-0.003759378;0.005494555;0;0;-0.01369863;0;0;-0.024464272;-0.021478382;-0.014306057;-0.018064552;0;-0.004597685;0;-0.004444441;0;-0.003632538;-0.014072848;0.0554371;0;0.005864195;-0.012701136;-0.021313145;0;0;0.010952381;0.005586592;-0.022123894;-0.026599359;0.060836502;0;-0.010075567;0.012787755;-0.002217251;0.009345794;0;0;-0.02239482
1411;-0.012511677;0.002515663;0.001092844;0.05498537;0.017324738;0.043055556;0.005790887;-0.029047929;-0.098318181;-0.031356899;0.021480372;-0.019272888;-0.005269321;-0.054657408;-0.014545455;-0.032738146;-0.047674419;0.014062395;0.021830395;0.046464646;0;0.010739504;0.009148117;0.01066943;0;0.029304029;0.022609468;-0.018518519;0.015837104;-0.035051332;0.041218638;0.025;0.039440204;0.005050487;0;0.023662551;0.066048638;0.002785515;0.033192898
1412;-0.01013621;0.087829364;0.010917129;0.019457933;0.01029703;0.025299601;0.033030303;-0.087534631;-0.200696237;-0.049146557;-0.001136761;-0.004019582;0.000588582;-0.047231298;0.029520295;-0.053846116;-0.041514003;0.016435645;0.018898891;0.055019305;0;0.026411671;0.020679839;0.009399848;0;0.01779355;0.012897329;-0.005660377;-0.020044543;-0.070378804;0.017211704;-0.005609756;0.011015912;-0.007537662;0.018888844;0.08040201;0.013043479;0.005555556;-0.014479556
